0	 1.00005063
0.05	 0.94996653
0.1	 0.89920490
0.15	 0.84752213
0.2	 0.79354130
0.25	 0.73375027
0.3	 0.66330807
0.35	 0.55289323
0.4	 0.34152857
0.45	 0.13370710
0.5	 0.04822973
0.55	 0.01928410
0.6	 0.00910810
0.65	 0.00439043
0.7	 0.00221087
0.75	 0.00108860
0.8	 0.00070547
0.85	 0.00042847
0.9	 0.00021697
0.95	 0.00007897
1	 0.00005460
1.05	 0.00002417
1.1	 0.00001267
1.15	 0.00001337
1.2	 0.00000637
1.25	 0.00000183
1.3	 0.00000033
1.35	 0.00000167
1.4	 0.00000103
1.45	 0.00000000
1.5	 0.00000000
